"Comparison of all cause baseline and COVID-19 period deaths against regression, January 2016 - February 2022 (a)(b)(c)(d)(e)(f)"
"Week starting date","95% bounds","Expected","Observed","Observed w/o COVID"
"04-Jan-16","2216|2624","2,420","2,454","2,454"
"11-Jan-16","2207|2614","2,410","2,521","2,521"
"18-Jan-16","2200|2608","2,404","2,485","2,485"
"25-Jan-16","2198|2606","2,402","2,329","2,329"
"01-Feb-16","2199|2607","2,403","2,497","2,497"
"08-Feb-16","2204|2611","2,408","2,356","2,356"
"15-Feb-16","2212|2620","2,416","2,392","2,392"
"22-Feb-16","2224|2632","2,428","2,393","2,393"
"29-Feb-16","2239|2647","2,443","2,364","2,364"
"07-Mar-16","2258|2665","2,461","2,446","2,446"
"14-Mar-16","2279|2686","2,482","2,411","2,411"
"21-Mar-16","2303|2710","2,506","2,507","2,507"
"28-Mar-16","2329|2735","2,532","2,476","2,476"
"04-Apr-16","2357|2763","2,560","2,576","2,576"
"11-Apr-16","2386|2792","2,589","2,560","2,560"
"18-Apr-16","2417|2823","2,620","2,518","2,518"
"25-Apr-16","2448|2853","2,650","2,515","2,515"
"02-May-16","2479|2884","2,682","2,496","2,496"
"09-May-16","2510|2915","2,712","2,598","2,598"
"16-May-16","2540|2945","2,743","2,637","2,637"
"23-May-16","2569|2974","2,772","2,780","2,780"
"30-May-16","2596|3002","2,799","2,828","2,828"
"06-Jun-16","2622|3028","2,825","2,849","2,849"
"13-Jun-16","2645|3051","2,848","2,687","2,687"
"20-Jun-16","2665|3072","2,868","2,841","2,841"
"27-Jun-16","2683|3089","2,886","2,836","2,836"
"04-Jul-16","2697|3104","2,901","2,917","2,917"
"11-Jul-16","2709|3115","2,912","2,926","2,926"
"18-Jul-16","2716|3123","2,919","2,883","2,883"
"25-Jul-16","2720|3127","2,924","2,930","2,930"
"01-Aug-16","2721|3127","2,924","2,914","2,914"
"08-Aug-16","2717|3124","2,921","2,919","2,919"
"15-Aug-16","2710|3117","2,914","3,038","3,038"
"22-Aug-16","2700|3107","2,903","3,033","3,033"
"29-Aug-16","2686|3093","2,890","3,069","3,069"
"05-Sep-16","2670|3076","2,873","2,934","2,934"
"12-Sep-16","2650|3056","2,853","2,889","2,889"
"19-Sep-16","2628|3034","2,831","2,768","2,768"
"26-Sep-16","2603|3009","2,806","2,852","2,852"
"03-Oct-16","2576|2982","2,779","2,807","2,807"
"10-Oct-16","2548|2954","2,751","2,779","2,779"
"17-Oct-16","2519|2925","2,722","2,758","2,758"
"24-Oct-16","2490|2895","2,693","2,772","2,772"
"31-Oct-16","2460|2865","2,663","2,688","2,688"
"07-Nov-16","2430|2836","2,633","2,761","2,761"
"14-Nov-16","2401|2807","2,604","2,578","2,578"
"21-Nov-16","2373|2779","2,576","2,649","2,649"
"28-Nov-16","2346|2752","2,549","2,519","2,519"
"05-Dec-16","2321|2728","2,525","2,383","2,383"
"12-Dec-16","2299|2706","2,502","2,534","2,534"
"19-Dec-16","2279|2686","2,483","2,541","2,541"
"26-Dec-16","2262|2669","2,466","2,557","2,557"
"02-Jan-17","2248|2656","2,452","2,497","2,497"
"09-Jan-17","2238|2645","2,442","2,518","2,518"
"16-Jan-17","2231|2638","2,435","2,437","2,437"
"23-Jan-17","2228|2635","2,431","2,495","2,495"
"30-Jan-17","2228|2636","2,432","2,421","2,421"
"06-Feb-17","2232|2640","2,436","2,524","2,524"
"13-Feb-17","2240|2647","2,444","2,487","2,487"
"20-Feb-17","2251|2658","2,455","2,572","2,572"
"27-Feb-17","2266|2673","2,469","2,517","2,517"
"06-Mar-17","2284|2690","2,487","2,664","2,664"
"13-Mar-17","2304|2711","2,508","2,443","2,443"
"20-Mar-17","2328|2734","2,531","2,547","2,547"
"27-Mar-17","2353|2760","2,556","2,477","2,477"
"03-Apr-17","2381|2787","2,584","2,631","2,631"
"10-Apr-17","2410|2816","2,613","2,581","2,581"
"17-Apr-17","2440|2846","2,643","2,641","2,641"
"24-Apr-17","2471|2877","2,674","2,621","2,621"
"01-May-17","2502|2908","2,705","2,583","2,583"
"08-May-17","2533|2939","2,736","2,730","2,730"
"15-May-17","2563|2969","2,766","2,763","2,763"
"22-May-17","2592|2998","2,795","2,767","2,767"
"29-May-17","2620|3026","2,823","2,826","2,826"
"05-Jun-17","2646|3052","2,849","2,874","2,874"
"12-Jun-17","2669|3075","2,872","2,871","2,871"
"19-Jun-17","2690|3096","2,893","2,821","2,821"
"26-Jun-17","2708|3115","2,911","2,914","2,914"
"03-Jul-17","2723|3130","2,927","3,027","3,027"
"10-Jul-17","2735|3142","2,938","3,099","3,099"
"17-Jul-17","2743|3150","2,947","3,251","3,251"
"24-Jul-17","2748|3155","2,951","3,250","3,250"
"31-Jul-17","2749|3156","2,952","3,329","3,329"
"07-Aug-17","2746|3153","2,949","3,301","3,301"
"14-Aug-17","2740|3147","2,943","3,252","3,252"
"21-Aug-17","2730|3137","2,933","3,280","3,280"
"28-Aug-17","2717|3123","2,920","3,369","3,369"
"04-Sep-17","2700|3107","2,904","3,180","3,180"
"11-Sep-17","2681|3088","2,884","3,292","3,292"
"18-Sep-17","2659|3065","2,862","3,173","3,173"
"25-Sep-17","2635|3041","2,838","2,914","2,914"
"02-Oct-17","2609|3015","2,812","2,923","2,923"
"09-Oct-17","2581|2987","2,784","2,793","2,793"
"16-Oct-17","2552|2958","2,755","2,701","2,701"
"23-Oct-17","2522|2928","2,725","2,598","2,598"
"30-Oct-17","2492|2898","2,695","2,649","2,649"
"06-Nov-17","2462|2868","2,665","2,509","2,509"
"13-Nov-17","2433|2839","2,636","2,565","2,565"
"20-Nov-17","2405|2811","2,608","2,536","2,536"
"27-Nov-17","2378|2784","2,581","2,533","2,533"
"04-Dec-17","2353|2759","2,556","2,540","2,540"
"11-Dec-17","2330|2736","2,533","2,599","2,599"
